"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:27kzvdLZ24iFRntK1Sveoo","Dum Taka Dum","spotify:artist:6hxb4rGrYXtrAZbUK7uzt9","Sansar Salvo","spotify:album:5C8dv0j7dtTpbG3tBoVMb7","24. Şarjör","spotify:artist:6hxb4rGrYXtrAZbUK7uzt9","Sansar Salvo","2013-11-19","https://i.scdn.co/image/ab67616d0000b27302d2275d45cd5d06a14f26fc","1","5","190986","https://p.scdn.co/mp3-preview/202637ec2c18111a4ce5c5c141e9270b3af029fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","TR0061300496","spotify:user:sachropathy","2023-07-27T15:36:02Z"
"spotify:track:6a7y5iryYRDckAdmlPBTF3","Nabız","spotify:artist:3yzGegJHrOW1CndMVFoo3m, spotify:artist:0te8dahx5iQeSlOYj5n8t9, spotify:artist:0FUsrstJwmg4WVHQMTYuUA","Hidra, FerzanBeats, Şehinşah","spotify:album:1cJ8yfAAoq8OYCJvD87cja","Yarım Kalan","spotify:artist:3yzGegJHrOW1CndMVFoo3m, spotify:artist:0te8dahx5iQeSlOYj5n8t9","Hidra, FerzanBeats","2017-12-20","https://i.scdn.co/image/ab67616d0000b2735bd3776a6c8e0417dff03b97","1","2","258946","","false","10","TR0061800445","spotify:user:sachropathy","2023-07-27T15:42:51Z"
"spotify:track:2FLvbfkf8LzH8nk5NS36OU","Karma","spotify:artist:0FUsrstJwmg4WVHQMTYuUA","Şehinşah","spotify:album:2dRvnCky20UrGcha95ALRU","Karma","spotify:artist:0FUsrstJwmg4WVHQMTYuUA","Şehinşah","2017-11-27","https://i.scdn.co/image/ab67616d0000b2737f6534cbc4b25f98e90e11ef","1","1","312000","https://p.scdn.co/mp3-preview/2f84b2ada96a0e38bbd8b07489af9ece70fab299?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","TCADJ1741718","spotify:user:sachropathy","2023-07-27T15:43:32Z"
"spotify:track:0NWSbSANC3iTpKxSMXmQ1J","Katliam 2","spotify:artist:4Fn5clYETVpCxnIcFSZhr9, spotify:artist:5rBUMBV7L6zPsEKnlgiOm9, spotify:artist:6hxb4rGrYXtrAZbUK7uzt9, spotify:artist:2u4xMsh0M2B7R8Wb3pEWae, spotify:artist:7bchfd9ZihGesFniE7tM71, spotify:artist:5BQP3vtXK4u9P6eSs2mMjZ, spotify:artist:5piE2MZ1wGpBjpDud8kTOS, spotify:artist:3tJELJoPZ4VTKmL0vppqLj, spotify:artist:6nB1a3hqZj8y8uEa7SPMPJ","Massaka, Yener Çevik, Sansar Salvo, Anıl Piyancı, Velet, Monstar361, Defkhan, Contra, Gekko G","spotify:album:71Y1CjZ2kqMGdWeo2WCdHv","Katliam 2","spotify:artist:4Fn5clYETVpCxnIcFSZhr9","Massaka","2018-04-19","https://i.scdn.co/image/ab67616d0000b273c0731bb6f383687f40fd3a5a","1","1","306000","https://p.scdn.co/mp3-preview/253ffa7daf947eb1077322aa6da60e2d54bccd2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","TCADP1803524","spotify:user:sachropathy","2023-07-27T15:52:28Z"
"spotify:track:4HbJLNbqtZI5AHKg12VtNr","Ölü","spotify:artist:3tJELJoPZ4VTKmL0vppqLj","Contra","spotify:album:5UvLuIgZ3c29ICGmmQ3SSL","Ölü","spotify:artist:3tJELJoPZ4VTKmL0vppqLj","Contra","2012-08-30","https://i.scdn.co/image/ab67616d0000b2739b6cd365d38496b580026989","1","1","148060","https://p.scdn.co/mp3-preview/03547c40a813d795e502cd4ab94d63301c06a561?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","GBSMU2663252","spotify:user:sachropathy","2023-07-27T15:53:49Z"
"spotify:track:35UKWNaGBeCuL2cOdC44r1","Ölüme İnat","spotify:artist:3yzGegJHrOW1CndMVFoo3m","Hidra","spotify:album:37EjZUf4ybWBUMgzE6yZCQ","Hedefte","spotify:artist:3yzGegJHrOW1CndMVFoo3m","Hidra","2013-01-14","https://i.scdn.co/image/ab67616d0000b2739160c3128858a69190276641","1","4","197590","https://p.scdn.co/mp3-preview/603b4bef02940e7c1e27df12270fd34e1ae0076f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","TR0061800416","spotify:user:sachropathy","2023-07-27T15:55:13Z"
"spotify:track:5RQOOES2NBTUhqhBaufWax","Çene Kemiklerimi Kırdım","spotify:artist:4ESPwgMOkNWv8mZIfe2mdO","Tankurt Manas","spotify:album:3mXNYp8Lp0TO9eVmTpeLfD","Çene Kemiklerimi Kırdım","spotify:artist:4ESPwgMOkNWv8mZIfe2mdO","Tankurt Manas","2013","https://i.scdn.co/image/ab67616d0000b273d991934e42f8e437973958ad","1","1","127500","https://p.scdn.co/mp3-preview/0a43f19639168aabe832dba6062063a9063c238f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZ4JJ1985900","spotify:user:sachropathy","2023-07-27T15:56:01Z"
"spotify:track:23LU8oZtZnTTXRkBzfZa5H","Eroinle Dans Klan Şarkısı","spotify:artist:2uPU3Rqe5mScFUMvOnVNX2, spotify:artist:3lemxuyULQEQHTX9eVE4FW","Weinzed, Femberi Bensen","spotify:album:4CtyjV86BcdEhQFyh9UOv2","Eroinle Dans Klan Şarkısı","spotify:artist:2uPU3Rqe5mScFUMvOnVNX2","Weinzed","2012-04-08","https://i.scdn.co/image/ab67616d0000b2739719e3aae51c53e3dd06fdc4","1","1","266344","https://p.scdn.co/mp3-preview/1e6b1af62219f2c136e843df777d14ea5a475f3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","13","QZDFP1946458","spotify:user:sachropathy","2023-07-27T15:58:39Z"
"spotify:track:5i97IXFMDqItyxxyYgZxJ4","Gölge Haramileri","spotify:artist:5jS96gk8PD4lCryztRWijy","Lyph3r","spotify:album:048V0wfvVIhllmR8jhE6YS","Gölge Haramileri","spotify:artist:5jS96gk8PD4lCryztRWijy","Lyph3r","2022-11-03","https://i.scdn.co/image/ab67616d0000b2732c37e0c249699de3cb4aaa47","1","1","321422","https://p.scdn.co/mp3-preview/55de38cd7c2a727c687b518b91379509198ca84e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QZRP42169314","spotify:user:sachropathy","2023-07-27T16:03:26Z"
"spotify:track:0nUm9wKS6CF7Euayr3YwHL","Sayın Türk (feat. DJ Artz)","spotify:artist:0FUsrstJwmg4WVHQMTYuUA, spotify:artist:4Bx6CNFD4W2Bctwm0k8Q9e","Şehinşah, DJ Artz","spotify:album:1g0q9JCBfhrEDU3cKWx2pn","DEEV (Deluxe Edition)","spotify:artist:0FUsrstJwmg4WVHQMTYuUA","Şehinşah","2016-02-20","https://i.scdn.co/image/ab67616d0000b273a36e0d24e11af24899b3bb90","1","7","242758","https://p.scdn.co/mp3-preview/ddbf375e5bb530698b332da533557b171da1b207?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","TCADC1716383","spotify:user:sachropathy","2023-07-28T16:37:22Z"
"spotify:track:6K1lklIfVJdUTQVBpvDkrd","İstisnalar Kaideyi Bozmaz","spotify:artist:1KXTegXtnCPKXjRaX1llcD","Sagopa Kajmer","spotify:album:0lk56yoXCItpOyPqywrbXL","Kafile","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006","https://i.scdn.co/image/ab67616d0000b2735ef5913a86a0a7938772fd59","1","12","151853","https://p.scdn.co/mp3-preview/97c51a2fe50dc45abfdf0d07c4ed4dcbdd5e1b50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TR0680600012","spotify:user:sachropathy","2023-08-04T05:22:26Z"
"spotify:track:09l6KXWKqFJxOq9mKC4Sl4","Farklı Yol","spotify:artist:44wLgA9gxORLwDGRvYpRBg, spotify:artist:2iRPoDaBO985o9QkEezZ1g","Farazi, Kodes Kahra","spotify:album:0VAiv9kHYfyIsMfBAvyasZ","Ölmek İçin Doğanlar","spotify:artist:44wLgA9gxORLwDGRvYpRBg, spotify:artist:2iRPoDaBO985o9QkEezZ1g","Farazi, Kodes Kahra","2019-11-01","https://i.scdn.co/image/ab67616d0000b273cb6c4260deab338c1be43da5","1","1","155446","https://p.scdn.co/mp3-preview/876f11a262d04ec425cba46319a7aa30135fc947?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USLD91722021","spotify:user:sachropathy","2023-08-04T05:22:37Z"
"spotify:track:6uuQZFYzeUf1NR5tucdjj5","Galiba - Orijinal Rap Versiyon","spotify:artist:1KXTegXtnCPKXjRaX1llcD","Sagopa Kajmer","spotify:album:6yKCMFBEwit95zohTKDZGo","Saydam Odalar","spotify:artist:1KXTegXtnCPKXjRaX1llcD","Sagopa Kajmer","2011","https://i.scdn.co/image/ab67616d0000b273b5ed0b7cb7f3bddf23979e63","1","2","300506","https://p.scdn.co/mp3-preview/f0ad1a38d76c74705a42c65c51c4849e47f9cc22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TR0681100182","spotify:user:sachropathy","2023-08-04T05:22:50Z"
"spotify:track:6qkXhA5mVvG1DLyliRS1Yf","Bazen (feat. Emel)","spotify:artist:6LnJKrtFnTEGdbWQ2riWCL, spotify:artist:6r5Vj3DJwRNxYPjclpq4am","Ezhel, Emel","spotify:album:5mo701EsMb8GFdF4YL3NG8","Müptezhel","spotify:artist:6LnJKrtFnTEGdbWQ2riWCL","Ezhel","2017-05-25","https://i.scdn.co/image/ab67616d0000b273ecd10eea07796a0edf4fb609","1","11","231007","https://p.scdn.co/mp3-preview/243f485dca297168ee1d34f9caa6fc9ad76d0c65?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","TCADC1710552","spotify:user:sachropathy","2023-08-04T05:23:15Z"
"spotify:track:2094KhVSW0Wl1oLVRgzZ9q","Beyaz Diş","spotify:artist:4zUhrByjzkinPfoGOiw5nq","ibrahim1337","spotify:album:5U7xP06EoZeG8uuxRjC19y","Beyaz Diş","spotify:artist:4zUhrByjzkinPfoGOiw5nq","ibrahim1337","2022-05-28","https://i.scdn.co/image/ab67616d0000b273a9a790bbe6509f3e5e279d41","1","1","217104","https://p.scdn.co/mp3-preview/cc2f2f1248ed6bc233e1cddd50b187f1e53a507c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USDA12305029","spotify:user:sachropathy","2023-09-04T10:01:13Z"
