"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:18jXJ4X1GKyfeNWUYEGDEf","Türkler Geliyor","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","spotify:album:5WGPsJVyGRwIlwgT7q3cAg","Türkler Geliyor","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","2020-01-10","https://i.scdn.co/image/ab67616d0000b273ac638a0f6f9b0aa98586f217","1","1","191280","https://p.scdn.co/mp3-preview/f9e67ffa6555d6f1ae03141fd57012f41e4ac090?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TRBRO1900001","spotify:user:sachropathy","2023-11-18T08:42:50Z"
"spotify:track:62VTRXaD6Xcq942GgQnex9","Dombıra","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","spotify:album:1oeeiqJLJhbUJmz0Nbybml","Dombıra","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","2016","https://i.scdn.co/image/ab67616d0000b273f29116070cb568dd57881641","1","2","202786","https://p.scdn.co/mp3-preview/74fdc849d5ea41515b07efd42008d3e7ba9fdc73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FR2X41655342","spotify:user:sachropathy","2023-11-18T08:42:53Z"
"spotify:track:40zp5Wk67s5TX1fJsHwCIZ","Osman Bey Marşı","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","spotify:album:4DgJD2FxPOQhuWFKpRd4qJ","Osman Bey Marşı","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","2020-06-18","https://i.scdn.co/image/ab67616d0000b2734385a04d4fd463a449f19165","1","1","192611","https://p.scdn.co/mp3-preview/3ca116f98e985cfda91eb3b507872bb6e288aba6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TRBRO2000005","spotify:user:sachropathy","2023-11-18T08:43:04Z"
"spotify:track:53RTv1lCtzQLcubyfRgvbB","Yelkenler Biçilecek","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","spotify:album:1XbYR65eJjxkourNmqrAlb","Mehter Marşları, Vol.1","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","2015-12-18","https://i.scdn.co/image/ab67616d0000b273e3e05d82a4c6970e09473a70","1","20","246682","https://p.scdn.co/mp3-preview/7ac199c0d8af95048c98de724c38dee36828615e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TR0801501630","spotify:user:sachropathy","2023-11-18T08:43:12Z"
"spotify:track:4DrKcq3vOZQ40CCbVHmKF8","Genç Osman","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","spotify:album:1XbYR65eJjxkourNmqrAlb","Mehter Marşları, Vol.1","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","2015-12-18","https://i.scdn.co/image/ab67616d0000b273e3e05d82a4c6970e09473a70","1","21","166719","https://p.scdn.co/mp3-preview/27e48294e792b0d43d81858991cb2fc63e9729cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TR0801501631","spotify:user:sachropathy","2023-11-18T08:43:13Z"
"spotify:track:1bwc5zeDC0VIHJdVUmnK8i","Hücum Marşı","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","spotify:album:0L6fRwIIt5JVPWxHPqqnOV","Mehter Marşları, Vol.2","spotify:artist:0QAhamKcGUMk9LleK3S9YO","Mehter","2015-12-18","https://i.scdn.co/image/ab67616d0000b2730000f329bdedf99c818740d1","1","19","123414","https://p.scdn.co/mp3-preview/a84cda662a8055f828e629a96af93ae81265e261?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TR0801501654","spotify:user:sachropathy","2023-11-18T08:43:19Z"
"spotify:track:6q3ntOizQ8hM7hkV4WVU0U","Kahraman Enver Paşa","spotify:artist:30E3K3j8Z9PVZlLU61CwXS","Bozkurt","spotify:album:3AFZGpNIIBcf8LrXk2M4Ti","Kahraman Enver Paşa","spotify:artist:30E3K3j8Z9PVZlLU61CwXS","Bozkurt","2022-04-15","https://i.scdn.co/image/ab67616d0000b27358315e313dd9314266252d13","1","1","126270","https://p.scdn.co/mp3-preview/28ece3c51773ad48d66c99de746ab863d52e77cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","SE6HN2246242","spotify:user:sachropathy","2023-11-18T08:43:43Z"
"spotify:track:0FQIywW4vWYr5zYGrVm8gp","Fetih Marşı","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","spotify:album:2XbJ4Dctpw1Vpl82i1Cv7b","Fetih Marşı","spotify:artist:1bRd8CO1ap6c8CVQ8fEpAV","Arslanbek Sultanbekov","2020-05-29","https://i.scdn.co/image/ab67616d0000b273114be2246fc570c0ea93000a","1","1","243064","https://p.scdn.co/mp3-preview/aab459698e08c91142a9e249f94c2d245c0a2e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TRBRO2000003","spotify:user:sachropathy","2023-11-18T08:44:15Z"
"spotify:track:6ApzRCTfkaAzdfjs38Fzhg","Hoş Gelişler Ola Kahraman Enver Paşa","spotify:artist:4deZjEsH0P5M0LLs0oyYpX","Kerim Sezer","spotify:album:2MmuUDnenQnpin2PY9clIe","Hatıra Kayıtlar (2017 - 2019)","spotify:artist:4deZjEsH0P5M0LLs0oyYpX","Kerim Sezer","2022-04-24","https://i.scdn.co/image/ab67616d0000b2731d7a0733835b06617d45960d","1","7","152357","https://p.scdn.co/mp3-preview/366be8e0ba1ec4cef29ef455588ffe9bdec18771?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QZHN72232189","spotify:user:sachropathy","2023-11-18T08:44:51Z"
"spotify:track:4rnxh0f8p4CvGiHKF9UQaW","İzmir Marşı","spotify:artist:4XYD8wP6f1sfLtWfrY1luF","Kıraç","spotify:album:6vQF1EiZbNNa7im6zksFrK","Türk Marşları","spotify:artist:4XYD8wP6f1sfLtWfrY1luF","Kıraç","2022-04-22","https://i.scdn.co/image/ab67616d0000b2739741bc69a2b870e9c302541f","1","5","160999","https://p.scdn.co/mp3-preview/79e5237947b9090f617df042b29c41379426b639?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TRCBH2200014","spotify:user:sachropathy","2023-11-18T08:45:32Z"
