"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1X8xQolASWRsyG2XkIHERA","In Taberna Quando Sumus","spotify:artist:4vVARdMRWNMLzGLErGz3Vh","Arany Zoltán","spotify:album:4syuLP3wCe5teIK66pbdMm","The Last of the Troubadours","spotify:artist:4vVARdMRWNMLzGLErGz3Vh","Arany Zoltán","2010-09-02","https://i.scdn.co/image/ab67616d0000b273bbb5fdd94eed5deeb43148a4","1","3","179826","https://p.scdn.co/mp3-preview/e02b138dff4ee834502cab94a0575b88050e6895?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","HUA611501694","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:4rjcVZDZ74xqv49D8kFh5l","Very Few Friends","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:7EOZH0eKMdOdohywyWeo21","Very Few Friends","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2022-11-07","https://i.scdn.co/image/ab67616d0000b273cdef17c6c7140f1497e3bdb9","1","1","132500","https://p.scdn.co/mp3-preview/7333813023dd2b1cb66183293bc2981bcd27ca21?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QZTAX2220052","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:1li7Wh7pzMhBwMRjCUXlXV","Nails","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:7zqNEm1vjjydmmpuNU1wiT","Nails","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2023-05-25","https://i.scdn.co/image/ab67616d0000b273fe9111add83c80cf81201aa5","1","1","175375","https://p.scdn.co/mp3-preview/b30dae360dad386f4157c08dc1502c85c968d178?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QM6N22382907","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:3FadZFvScUrpDnbrXp6qdv","Ojos Así - Edit","spotify:artist:02bXKhV38LfhJraVsQ5qCc","X-Alox","spotify:album:4Ie7RYw6sTT1BhbWZ7A9sC","Ojos Así","spotify:artist:02bXKhV38LfhJraVsQ5qCc","X-Alox","2022-11-08","https://i.scdn.co/image/ab67616d0000b273dcef869d4517c02b692df4d4","1","1","322000","https://p.scdn.co/mp3-preview/c3adfbf2716ee546fadc102b0054dfc480641c0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBKQU2291891","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:2ashcEMaTYX6fb6MKPLLMZ","Elbruz Dağları","spotify:artist:6WHqMoKYmi4VAGlwB4hLUU","Şehir Işıkları","spotify:album:4Jq1H9JRDKkh6lyST9tvvf","Elbruz Dağları","spotify:artist:6WHqMoKYmi4VAGlwB4hLUU","Şehir Işıkları","2011-09-01","https://i.scdn.co/image/ab67616d0000b2732009290075b20744e9fae65a","1","1","235728","https://p.scdn.co/mp3-preview/9a594a20b078e763f3950e02d952a1e721106596?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR96X2249897","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:4mpHiF06dD1aQhnX2SJQvC","İndik Rum'da Kışladık","spotify:artist:2KMqPawdfROlhVx0LeJgPR, spotify:artist:5ibU0A1KS0tf0EMiiJY3h3, spotify:artist:0RMzqCspHHpTrYRxdGWb2C","Ender Akay, Beyazıt Öztürk, Haluk Bilginer","spotify:album:5kHTPsamWifYurHaVxVpv5","Hacivat Karagöz Neden Öldürüldü (Orijinal Film Müzikleri)","spotify:artist:2KMqPawdfROlhVx0LeJgPR","Ender Akay","2006-03-01","https://i.scdn.co/image/ab67616d0000b273fefda9267a1caeebcd701a9f","1","6","124273","https://p.scdn.co/mp3-preview/1284619509578b951b12ae7c5d63de621919fc2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TR0330605312","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:49AG4MU3Ij6a8NWEVLMuRu","From Gaza, With Love","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:5bah1OVDvcvn92BMkgOO6o","From Gaza, With Love","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2023-03-06","https://i.scdn.co/image/ab67616d0000b2737ebb8e22ad63a712a3b7a025","1","2","119747","https://p.scdn.co/mp3-preview/b3ca1deb218be522973558e3d2c91c199d4505e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TLSAI2300002","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:2vULZrYcq0qQMC2FJRFKiK","Nasimi - Live","spotify:artist:7GnedB795OhbMbojdC3bzj","Sami Yusuf","spotify:album:2M5mnfTx45gRynr1sy7viU","Azerbaijan: A Timeless Presence (Live)","spotify:artist:7GnedB795OhbMbojdC3bzj","Sami Yusuf","2019-09-09","https://i.scdn.co/image/ab67616d0000b2735ba2a7b23eebdef52225acda","1","3","414709","https://p.scdn.co/mp3-preview/61f596bfc60319b5c0047d360f7d05b84196841b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR59R1967110","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:6vnLZINUWTBCAffcbHTICm","Aquí","spotify:artist:5wqj5DHpNUW5TySzEtzdFg, spotify:artist:1Eh71zDPqTxFkFZhy6Vki9","nand, Ceyolia","spotify:album:11XrUD6Q4kW1ENOqHrKZXh","Aquí","spotify:artist:5wqj5DHpNUW5TySzEtzdFg","nand","2020-09-04","https://i.scdn.co/image/ab67616d0000b273284a4bc7d70664affd03aebf","1","1","162000","https://p.scdn.co/mp3-preview/49eab414111d8369f2fc45822643bda499170a2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QZK6M2031114","spotify:user:sachropathy","2023-12-05T11:03:08Z"
"spotify:track:6xuH6dt3b1xAjVWwUApbwh","Deriko","spotify:artist:5HL2vpJK88hFoujHGpklWg","Modern Folk Üçlüsü","spotify:album:0Ny6tlJtbHg2DHnc7hdI5H","40 Yılın Öyküsü","spotify:artist:5HL2vpJK88hFoujHGpklWg","Modern Folk Üçlüsü","2010","https://i.scdn.co/image/ab67616d0000b27321a49c0ac10fd9486a81cb78","1","2","116840","https://p.scdn.co/mp3-preview/a827b3db1338d21ce0600f590bc761c2d68a60d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TR0491000972","spotify:user:sachropathy","2023-12-05T11:03:08Z"
