"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1JHXH2EWYksXdE9CRGTzQ3","Pretty Polly","spotify:artist:3SP3zwx9ot2sOEf80VJA5A","Vandaveer","spotify:album:1AC9fNwrEd9EnssjD5Krzl","Oh, Willie, Please...","spotify:artist:3SP3zwx9ot2sOEf80VJA5A","Vandaveer","2013-04-30","https://i.scdn.co/image/ab67616d0000b2734bff97a04a0d8d4f405b0bb3","1","2","228958","","false","1","USSZA1200014","spotify:user:sachropathy","2020-10-16T11:00:19Z"
"spotify:track:4cxMGhkinTocPSVVKWIw0d","Losin Control","spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS","Russ","spotify:album:0lUL92det7mZ4DaHYmiUEC","There's Really A Wolf","spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS","Russ","2017-05-05","https://i.scdn.co/image/ab67616d0000b273cb045e684adce8d49ada4045","1","14","237506","https://p.scdn.co/mp3-preview/3c6ca6c58b9721bd38cdbda47704065f658871e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSM11606199","spotify:user:sachropathy","2020-10-16T11:00:42Z"
"spotify:track:31AOj9sFz2gM0O3hMARRBx","Losing My Religion","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6yEuIwTQpciH1qtj7mP5GK","Out Of Time (25th Anniversary Edition)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-03-12","https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd","1","2","268426","https://p.scdn.co/mp3-preview/184d86f6c2b531830190011f00c5780fa7a2e1f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USC4R1605373","spotify:user:sachropathy","2020-10-16T11:00:46Z"
"spotify:track:57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony - Remastered 2016","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","spotify:album:52AeC4gwbxDfFlLHgK1ByD","Urban Hymns (Remastered 2016)","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","1997-09-29","https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45","1","1","357266","https://p.scdn.co/mp3-preview/8b56a0a99ec6675ac20c4c9d69565897e510c491?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBUM71601816","spotify:user:sachropathy","2020-10-16T11:00:49Z"
"spotify:track:6CKoWCWAqEVWVjpeoJXyNH","Shape Of My Heart","spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Sting","spotify:album:5kV0KBXfELibs6qQJLmOtg","Ten Summoner's Tales","spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Sting","1993-03-09","https://i.scdn.co/image/ab67616d0000b273653b110d9560eb1656f4c583","1","10","279226","https://p.scdn.co/mp3-preview/2ab904ea67d70342d1911b14c9077cafd7d6b25e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAM9390010","spotify:user:sachropathy","2020-10-16T11:01:02Z"
"spotify:track:7iN1s7xHE4ifF5povM6A48","Let It Be - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0jTGHV5xqHPvEcwL8f6YU5","Let It Be (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1970-05-08","https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1","1","6","243026","https://p.scdn.co/mp3-preview/31f65b6a613010f22316c7be335b62226cf2f263?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAYE0601713","spotify:user:sachropathy","2020-10-16T14:59:22Z"
"spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd","Love Of My Life - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:75eP8LZolyNBpqIRyB5pvB","A Night At The Opera (Deluxe Edition 2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1975-11-21","https://i.scdn.co/image/ab67616d0000b273733cfd7114c704785e4f8da0","1","9","217386","https://p.scdn.co/mp3-preview/8d6396edb133cbd3cd028164a105aed82a71b384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM71100536","spotify:user:sachropathy","2020-10-16T14:59:29Z"
"spotify:track:3BQHpFgAp4l80e1XslIjNI","Yesterday - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PT5m6hwPRrpBwIHVnvbFX","Help! (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-08-06","https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa","1","13","125666","https://p.scdn.co/mp3-preview/4e5bed3f38f48a27ad87bffef5ba754c64028228?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAYE0601477","spotify:user:sachropathy","2020-10-16T14:59:37Z"
"spotify:track:3BEZCNZSmVv30vsMNSOCri","Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","spotify:album:3ebyEGol0Abc7VAxYf7vEg","Unplugged (Deluxe Edition)","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","1992-08-25","https://i.scdn.co/image/ab67616d0000b273d55ec7fcfacd95e73877b787","1","7","289026","","false","2","USRE11300317","spotify:user:sachropathy","2020-10-16T15:26:10Z"
"spotify:track:19slC7k8bsPOAKDjHYLU2W","Father And Son","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","spotify:album:1FKScTiXaADVfAp6gTWHKj","Tea for the Tillerman","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","1970-11-23","https://i.scdn.co/image/ab67616d0000b273d12357f649db780ff1171b06","1","10","221000","","false","0","GBAAN7000042","spotify:user:sachropathy","2020-10-28T13:21:00Z"
