"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4rjcVZDZ74xqv49D8kFh5l","Very Few Friends","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:7EOZH0eKMdOdohywyWeo21","Very Few Friends","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2022-11-07","https://i.scdn.co/image/ab67616d0000b273cdef17c6c7140f1497e3bdb9","1","1","132500","https://p.scdn.co/mp3-preview/7333813023dd2b1cb66183293bc2981bcd27ca21?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QZTAX2220052","spotify:user:sachropathy","2023-07-17T06:46:57Z"
"spotify:track:1Q8UhAL4Ebspx05qAFGyTn","I Guess","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT, spotify:artist:63I47oemHnVtpZGCu6rrOM","Saint Levant, Playyard","spotify:album:1KCGlttwZbhgs9WfNoHitL","I Guess","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT, spotify:artist:63I47oemHnVtpZGCu6rrOM","Saint Levant, Playyard","2022-12-12","https://i.scdn.co/image/ab67616d0000b273194ed15f554a82a8779d1770","1","1","158000","https://p.scdn.co/mp3-preview/fbd92d287283f72381c705be81d81597d63f6946?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QZTB72205711","spotify:user:sachropathy","2023-07-17T06:48:48Z"
"spotify:track:6ONNprntoihbrQMFkNUPlO","Nasty Remix ft Saint Levant","spotify:artist:2saNOYtb2v8aXMmezcwAiI, spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Zeina, Saint Levant","spotify:album:0RtZh2OWBGwidoGGZ221GM","Nasty Remix ft Saint Levant","spotify:artist:2saNOYtb2v8aXMmezcwAiI, spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Zeina, Saint Levant","2023-04-26","https://i.scdn.co/image/ab67616d0000b2739c5688baed774722f16f0680","1","1","170366","https://p.scdn.co/mp3-preview/07fd297c55804c073a3280635df74c32e460a4dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QZVFR2301246","spotify:user:sachropathy","2023-07-17T06:54:40Z"
"spotify:track:49AG4MU3Ij6a8NWEVLMuRu","From Gaza, With Love","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:5bah1OVDvcvn92BMkgOO6o","From Gaza, With Love","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2023-03-06","https://i.scdn.co/image/ab67616d0000b2737ebb8e22ad63a712a3b7a025","1","2","119747","https://p.scdn.co/mp3-preview/b3ca1deb218be522973558e3d2c91c199d4505e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TLSAI2300002","spotify:user:sachropathy","2023-07-19T07:15:25Z"
"spotify:track:2eKZvfQGKWrpASz67UCvTo","FaceTime","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:4pQ8M36p9foCdo3DMD23FC","FaceTime","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2023-02-14","https://i.scdn.co/image/ab67616d0000b273471aa7ec0135ab043e5ad8b1","1","1","153625","https://p.scdn.co/mp3-preview/72ea4709f7de7d7659b3d48eca02521d2c4f8ffe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","QZDA62324754","spotify:user:sachropathy","2023-07-19T11:42:53Z"
"spotify:track:3HjRISOy6fhuXb73Pf2kN3","you up?","spotify:artist:6tpaMMCs8X6o8j9H5OmWmT","Yaya Bey","spotify:album:31prAWzIqlD3D7R4qPZlfr","exodus the north star","spotify:artist:6tpaMMCs8X6o8j9H5OmWmT","Yaya Bey","2023-02-07","https://i.scdn.co/image/ab67616d0000b273b7437dd382fa985c48b727d6","1","2","74303","https://p.scdn.co/mp3-preview/8261c0f050dd865e5f8f233fb17ca042e6edf0b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","GBCFB2100316","spotify:user:sachropathy","2023-07-19T20:59:46Z"
"spotify:track:0hKD7Ze9e8mBusJAbH8raq","Quiet Places","spotify:artist:4APHks5GcW1GrlfnSvL5O3","Karnaval Blues","spotify:album:6Aukn2JLB3JAfTZyHJGa2d","You Come With The Rain","spotify:artist:4APHks5GcW1GrlfnSvL5O3","Karnaval Blues","2019-10-16","https://i.scdn.co/image/ab67616d0000b2733cb9b899211a5ad1e2a8173a","1","5","67160","https://p.scdn.co/mp3-preview/0738d31d0fc89f8d6479708df86679cbca7b7c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QMEZE1949468","spotify:user:sachropathy","2023-07-19T20:59:58Z"
"spotify:track:2ZpC4XRsRSVpRUO3bZAwgq","Tes petites fesses","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","spotify:album:72btisw8ofdUAAb29Jsa7x","Tes petites fesses","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","2020-07-01","https://i.scdn.co/image/ab67616d0000b273f46728db574aa3e061a59353","1","1","110200","https://p.scdn.co/mp3-preview/af6fa338ac996cce7abcb0f2de8932e564d7620e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","FRX202024558","spotify:user:sachropathy","2023-07-19T21:02:34Z"
"spotify:track:6DYLWAdxEJvwWmT7EkeDkX","Charmed","spotify:artist:2tBWWgGv7H5ymPtJrT1rNu, spotify:artist:72WcKL1SYgNzcNojYLFQsB","Σtella, Redinho","spotify:album:4i2Cb9v7g9ieShCgf1gakk","Up and Away","spotify:artist:2tBWWgGv7H5ymPtJrT1rNu, spotify:artist:72WcKL1SYgNzcNojYLFQsB","Σtella, Redinho","2022-06-17","https://i.scdn.co/image/ab67616d0000b2735fde798f6842d0ccc57c4bba","1","4","158359","https://p.scdn.co/mp3-preview/27b2090970a2aa2e60487a1d6b03d79c1ee78651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSUB2148304","spotify:user:sachropathy","2023-07-22T07:17:05Z"
"spotify:track:3ce5BdXF8otY6x6BAulT0u","Dimanche","spotify:artist:7pcG7za39JaUHalwqiuCt9","MPL","spotify:album:5yUCz9DHFabouebIfRFQ5c","Ma pauvre Lucette","spotify:artist:7pcG7za39JaUHalwqiuCt9","MPL","2015-09-01","https://i.scdn.co/image/ab67616d0000b2731cb1a5be98c2e29b5570a71d","1","3","87413","https://p.scdn.co/mp3-preview/ecb137e53e177e7144aeea396e999fa1d8b1e774?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","FR26V1547403","spotify:user:sachropathy","2023-07-26T15:11:15Z"
"spotify:track:13jvw0CeBooDwdHktqQsuS","Kongo Feat Gaël Faye","spotify:artist:1l4wo8qR1qvFN8aym2xmDM, spotify:artist:69irZ4R8OsrLHjr6VmMmMg","Kolinga, Gaël Faye","spotify:album:0QuQbk2cBdSJ5Xayb18eWv","Earthquake (Edition Deluxe)","spotify:artist:1l4wo8qR1qvFN8aym2xmDM","Kolinga","2019-04-05","https://i.scdn.co/image/ab67616d0000b273dc4108596543a40d7c82c72e","1","10","212706","https://p.scdn.co/mp3-preview/67d964eba991f68fbdbb558f454eef7396b01ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","FR9W11811017","spotify:user:sachropathy","2023-07-26T15:11:22Z"
"spotify:track:4P89bNZVTCmu3zT0IBNLS8","Chalouper","spotify:artist:69irZ4R8OsrLHjr6VmMmMg","Gaël Faye","spotify:album:42QybsqCIxCc1H2SEskAiv","Lundi Méchant","spotify:artist:69irZ4R8OsrLHjr6VmMmMg","Gaël Faye","2020-11-06","https://i.scdn.co/image/ab67616d0000b273c841d82a16d61dc342ad5f6e","1","3","215240","https://p.scdn.co/mp3-preview/bcd55740f0b9d188afff551c27d39a82870753b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRPDK2000080","spotify:user:sachropathy","2023-07-26T15:12:27Z"
"spotify:track:6otUjBoNrp27EubqsoYGQx","Losers","spotify:artist:4oMBP1OWXtmxyDhAj2aRyQ","Balthazar","spotify:album:0aYwzFnbFur2SEyJKKS0LD","Sand","spotify:artist:4oMBP1OWXtmxyDhAj2aRyQ","Balthazar","2021-02-26","https://i.scdn.co/image/ab67616d0000b273f5923a4766a342f82b6e9c57","1","2","205680","https://p.scdn.co/mp3-preview/6e7445c0b7d09778294d67433ca94c3c0875a4f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBENL2002799","spotify:user:sachropathy","2023-07-26T15:25:52Z"
"spotify:track:2te9bELW3Ny3Ui6mjQwE7o","salam","spotify:artist:2qDnnMwHGuuOavNoAczDgZ","illi","spotify:album:2mFlCnSkEDUhDO4dxOlE6w","salam","spotify:artist:2qDnnMwHGuuOavNoAczDgZ","illi","2020-03-02","https://i.scdn.co/image/ab67616d0000b2731100e0ab7d6ab8d154dc740e","1","1","230949","https://p.scdn.co/mp3-preview/448977c1c469ae9706702d11434c62ef863de8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCAER2014337","spotify:user:sachropathy","2023-08-03T08:24:05Z"
"spotify:track:2LaBZcK5bUgf0WBs8tXhpV","Rêve Eveillé","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","spotify:album:1CszagKXOvQGes4ZbOlOwy","Rêve Eveillé","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","2021-12-03","https://i.scdn.co/image/ab67616d0000b27383d6fbbdf3b5a1ec8a522015","1","1","166736","https://p.scdn.co/mp3-preview/7041f0d8d48714da193ab986724f4387b9cfe7f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRX872157012","spotify:user:sachropathy","2023-08-03T08:24:22Z"
"spotify:track:2Nsz5vf1G6jxQs9JdKkTaT","Sirens","spotify:artist:2I4hRNCYkPKJQlkoEZKjYx","Monolink","spotify:album:2zVsWSuvghg0uyLQJVdoU6","Sirens","spotify:artist:2I4hRNCYkPKJQlkoEZKjYx","Monolink","2017-11-24","https://i.scdn.co/image/ab67616d0000b2737f995c73858d8364e368b84d","1","1","217190","https://p.scdn.co/mp3-preview/ce6f6858c7dd4cb29fe5bcb4c8e7b13374b0d046?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DETO31700380","spotify:user:sachropathy","2023-09-09T04:21:07Z"
"spotify:track:18wzXoOmYAUoaWaHORf12D","Escale","spotify:artist:2qDnnMwHGuuOavNoAczDgZ","illi","spotify:album:3HxpqyOgmyZ0QfbMphFcAk","Escale","spotify:artist:2qDnnMwHGuuOavNoAczDgZ","illi","2020-07-24","https://i.scdn.co/image/ab67616d0000b273752aa15b9726f89799c1f785","1","2","156750","https://p.scdn.co/mp3-preview/8d2b8435901ab871523b5ef8644e0832e47a6563?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","FRR642000595","spotify:user:sachropathy","2023-09-11T11:51:32Z"
"spotify:track:19rKkIKk3s4cH5KuH6cHb5","3 DRINKS LATER","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","spotify:album:3y8gveOzY6dV4fa1DBhVKl","3 DRINKS LATER","spotify:artist:2iKQgImU0tNvy43Qs0lfyX","LYNN","2021-06-18","https://i.scdn.co/image/ab67616d0000b273d482b83bde2dbfe8db83db20","1","1","106185","https://p.scdn.co/mp3-preview/14dcbd105d6f550f3c87fa4347e7fb42e527291a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","FRX202123590","spotify:user:sachropathy","2023-09-20T08:56:01Z"
"spotify:track:3VFvo73siTyfeWd6ptwcuc","Solo","spotify:artist:5kmLM9mSvPHT8SxGS9DqCo","Mauvaise Bouche","spotify:album:1HZhkCDK3MNbD8x71EMTpi","Solo","spotify:artist:5kmLM9mSvPHT8SxGS9DqCo","Mauvaise Bouche","2022-02-23","https://i.scdn.co/image/ab67616d0000b273ba0ad01aebcdd524593ef66f","1","1","195186","https://p.scdn.co/mp3-preview/f3b3d9a121c8da9585497856d4a7155dbc2e1727?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","FR9IX2202150","spotify:user:sachropathy","2023-09-20T08:57:51Z"
"spotify:track:2dje3ZBu1j1r0QfR7mtS0l","Burning Hour","spotify:artist:7vjRpVXoecwKTEsrb9iscj","Jadu Heart","spotify:album:08oR5PmpCJQ9FfWjsQtpXc","Hyper Romance","spotify:artist:7vjRpVXoecwKTEsrb9iscj","Jadu Heart","2020-09-25","https://i.scdn.co/image/ab67616d0000b27371ca4f635950b4f94568ac28","1","9","278900","https://p.scdn.co/mp3-preview/bd7bfd03cdd16a608b01946a9f7e877292c68e0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","UKQY82000057","spotify:user:sachropathy","2023-11-15T21:44:03Z"
"spotify:track:6R9k0IAO7qZUmtzgajfUOb","Dust It Off","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:7CDvibYA9VE63MYupv4lMi","Both Ways Open Jaws","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2011-03-07","https://i.scdn.co/image/ab67616d0000b2736a78e2b3f3c14ee4b1450235","1","1","222000","https://p.scdn.co/mp3-preview/077f355556ade2827946e123540963120d88f1ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FR2MH1000010","spotify:user:sachropathy","2023-11-15T21:44:15Z"
