"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Sb3Md9qVCRwu470IZ4XIp","Build Me A House","spotify:artist:4DtUsfaVQBhypuwYmobdSm, spotify:artist:0S2dfczvN0sOxEw559snHT","RIMON, Tiggs Da Author","spotify:album:1NsNO9pDwGPVlOkqgzro17","Build Me A House","spotify:artist:4DtUsfaVQBhypuwYmobdSm, spotify:artist:0S2dfczvN0sOxEw559snHT","RIMON, Tiggs Da Author","2022-09-23","https://i.scdn.co/image/ab67616d0000b273596e97a34bbe1384d9dde3c0","1","1","181481","https://p.scdn.co/mp3-preview/9725b5ecf53d3962308f4a8771864d8d2f683351?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUYG1440768","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:3DAywZ8bnUQX0qjVYjuL9x","Between The Lines","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","spotify:album:5bah1OVDvcvn92BMkgOO6o","From Gaza, With Love","spotify:artist:5ZZsFnpO7frU8h5xH1wtjT","Saint Levant","2023-03-06","https://i.scdn.co/image/ab67616d0000b2737ebb8e22ad63a712a3b7a025","1","5","156735","https://p.scdn.co/mp3-preview/cdff2dbb451e6ec955ac041d848ab6af1a5494f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TLSAI2300004","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:69d6auSK5QCTd70YrkYKMb","Sak Pase (with Saint Levant & Lolo Zouaï)","spotify:artist:1HcAkAeL4xf02wzAnl7mIV, spotify:artist:5ZZsFnpO7frU8h5xH1wtjT, spotify:artist:2qDIR2WlcW3llkGqJWg9VJ","Michaël Brun, Saint Levant, Lolo Zouaï","spotify:album:0iV9zepYN2Ky5Rok36pbjp","Sak Pase (with Saint Levant & Lolo Zouaï)","spotify:artist:1HcAkAeL4xf02wzAnl7mIV, spotify:artist:5ZZsFnpO7frU8h5xH1wtjT, spotify:artist:2qDIR2WlcW3llkGqJWg9VJ","Michaël Brun, Saint Levant, Lolo Zouaï","2023-06-09","https://i.scdn.co/image/ab67616d0000b27371395f2a035469109e7a7dda","1","1","138891","https://p.scdn.co/mp3-preview/399e445de3ea656c2bd3c88f6ac5a92a3b72f318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USUG12303697","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:3GxW7jtmUatEqM14hZdKFC","NASTY","spotify:artist:2saNOYtb2v8aXMmezcwAiI","Zeina","spotify:album:5oYotxU1JNdejw1yaDFfEF","NASTY","spotify:artist:2saNOYtb2v8aXMmezcwAiI","Zeina","2023-02-22","https://i.scdn.co/image/ab67616d0000b273cdb5ee5a6f86771a4cb59129","1","1","170366","https://p.scdn.co/mp3-preview/491a6f231c835d12e390000b752e944687e470b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QZVFR2300608","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:0iI2cOHpX6xmwKD15Q5ynd","Breakfast in Bed","spotify:artist:1kh0AypxF3CxMMzmQyif2S","Rayana Jay","spotify:album:4ASozZrX3WMIJplKcfRJYf","Love Me Like","spotify:artist:1kh0AypxF3CxMMzmQyif2S","Rayana Jay","2019-03-22","https://i.scdn.co/image/ab67616d0000b273b2fbd9875d8ab3d79484d12f","1","6","116059","https://p.scdn.co/mp3-preview/047dd7c393a87833064ace5bd6df7a693c1a91c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USUYG1243904","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:6KOz0JVLHVsNrBOpgD3YC3","moonpond","spotify:artist:52flspAUwzY59cow3QC53f","JVLY","spotify:album:120ibhZoUjdvVlWxiwBc8x","inside weather","spotify:artist:52flspAUwzY59cow3QC53f","JVLY","2020-06-17","https://i.scdn.co/image/ab67616d0000b2736c30d4475ccf066e8e31e197","1","1","96000","https://p.scdn.co/mp3-preview/fc4aa924c0d2a41125bbdd2f7ae56d4dc69fe447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FR59R2081942","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:7Cv8DRBiNOPpftEFfDcGMs","Pom Pom","spotify:artist:0CREEnqrPXZUTyHKATsUWE","Myra","spotify:album:0xlFng2WRcCZTjvq28yGTF","Pom Pom","spotify:artist:0CREEnqrPXZUTyHKATsUWE","Myra","2021-12-27","https://i.scdn.co/image/ab67616d0000b2736f3f4138411fd1258d3a27ae","1","1","155151","https://p.scdn.co/mp3-preview/2d5b4e417395416de741f795c19dbbd37a2d0314?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FR9W12145522","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:2cAZ6Pxbq34h5rgUr7hZKC","Pictures of You","spotify:artist:0tMnuEXTeJeHbslcV8OybJ, spotify:artist:4eArh1v6UwBbKkjdgHCned","Drugdealer, Kate Bollinger","spotify:album:2lJ4mGexbTGxmkF2OEejmE","Hiding in Plain Sight","spotify:artist:0tMnuEXTeJeHbslcV8OybJ","Drugdealer","2022-10-28","https://i.scdn.co/image/ab67616d0000b273d803163d042298404f8547b0","1","4","189466","https://p.scdn.co/mp3-preview/d3b2968b0791ba4dd6592d5745aa96b960121547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QMV8L2029204","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:4Svozvfxge1lfmahcToBGi","Y tu te vas","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:6x8QhgzstEOQZl50dvArzI","Teatro Lúcido","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2022-11-04","https://i.scdn.co/image/ab67616d0000b2739298180a2c685d70e8823f6e","1","4","194346","https://p.scdn.co/mp3-preview/e08e13f05e2b1f2f4b332fc19e1f19a3933a1bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FR9W12212231","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:3qrTtyItm5TPVpbZ3FI39C","Mona Ki Ngi Xica","spotify:artist:5EGOerlVYxwqxaTLEWumBR, spotify:artist:0I6bdBR4Q7uoc3HI1OgI8C","Synapson, Bonga","spotify:album:2vkL7hA8lVaQM33VOwMcsG","Global Musique, Vol. 2","spotify:artist:5EGOerlVYxwqxaTLEWumBR","Synapson","2022-11-18","https://i.scdn.co/image/ab67616d0000b2733d2dd875337f674af23d64fd","1","1","182651","https://p.scdn.co/mp3-preview/23e27dc7985d093f14e3b3b52c14a1216c63a7e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","FR9W12208854","spotify:user:sachropathy","2023-09-22T19:42:53Z"
"spotify:track:3e77K92gSxb8vi7wbpxHmt","Moustache Gracias","spotify:artist:4EePV5BljRSXJnYww4d5Qa, spotify:artist:12ORpM9tYPKZzEgZUZhL22","Deluxe, La Rue Ketanou","spotify:album:4zHHSiAPCwjfXeWAC0bCnv","Moustache Gracias","spotify:artist:4EePV5BljRSXJnYww4d5Qa","Deluxe","2022-03-17","https://i.scdn.co/image/ab67616d0000b273c7ae7de17cc781dd05f01945","1","2","215413","https://p.scdn.co/mp3-preview/3cbcb552741195092cff641fd64e7a16ce95e20d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FR7GO2000027","spotify:user:sachropathy","2023-09-22T19:42:53Z"
