"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4FZ1aw149g7Nr97MXGVQHf","Interlock","spotify:artist:089USvEXLXRcSrCAuYMREb","Glass Domain","spotify:album:3N26sV4gE4tBJQFI0DF4jh","Glass Domain","spotify:artist:089USvEXLXRcSrCAuYMREb","Glass Domain","2003-01-01","https://i.scdn.co/image/ab67616d0000b2731027745c57c88dcea883a3a7","1","4","109626","https://p.scdn.co/mp3-preview/7855ed4468ca38f5cbdcc544650b9c9562ed2f94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","NLL560500171","spotify:user:sachropathy","2023-04-28T17:22:31Z"
"spotify:track:0h6ENY9kDXxfbbfnX3onPR","What You Like","spotify:artist:2EFsfh1zewsSWhDINv7j1I, spotify:artist:2sY4BbYrbvNVgsNzo6HddD","Logic1000, yunè pinku","spotify:album:5QOziDmjbHnDqZTUgajTub","What You Like","spotify:artist:2EFsfh1zewsSWhDINv7j1I, spotify:artist:2sY4BbYrbvNVgsNzo6HddD","Logic1000, yunè pinku","2021-09-09","https://i.scdn.co/image/ab67616d0000b2734dbbb55c56c489b38115fc3e","1","1","193893","https://p.scdn.co/mp3-preview/e2d4addc455cf73cdfded83793818244175548a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBMVH2100710","spotify:user:sachropathy","2023-04-28T17:32:59Z"
"spotify:track:3zleqNZf1vJabDXJKfAE9G","Morning Shift","spotify:artist:0dns940bo2pILe1Flk0WH3","Patrick Holland","spotify:album:12Z1TMLUbMqeeivrEijzha","Scented Trip","spotify:artist:0dns940bo2pILe1Flk0WH3","Patrick Holland","2017-03-24","https://i.scdn.co/image/ab67616d0000b273eda20485103feb5965e67042","1","1","380149","https://p.scdn.co/mp3-preview/22a0e98fbf1f1877d247b28d9262456dac772323?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBQLP1601068","spotify:user:sachropathy","2023-04-28T17:33:08Z"
"spotify:track:30w0Ow2tuaZL26ep5pEn2M","The Semimodular Bird of Jazz","spotify:artist:7rQKvsWUOJgXmInx2JuaXj","Felipe Gordon","spotify:album:00t0zeNG6lLjFxtrwQSfzc","Wait on Me EP","spotify:artist:7rQKvsWUOJgXmInx2JuaXj","Felipe Gordon","2020-02-21","https://i.scdn.co/image/ab67616d0000b2732b48ebe9c7b3b0ed0bbb288f","1","3","289208","https://p.scdn.co/mp3-preview/db9fb0cd493e63637d1dbec359c495b0abd5f83b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","DEBY41200468","spotify:user:sachropathy","2023-04-28T17:34:02Z"
"spotify:track:0WC1gMwlE5gukRygtNw5bF","Where Is The Sun???","spotify:artist:41y1iPh0WqB7tyGdzyeinZ","Blue Hawaii","spotify:album:29lsgW4OoWxJaXfEhVAtSM","Where Is The Sun???","spotify:artist:41y1iPh0WqB7tyGdzyeinZ","Blue Hawaii","2022-05-31","https://i.scdn.co/image/ab67616d0000b273a79bdaab05ac89f83bf75136","1","1","173360","https://p.scdn.co/mp3-preview/b7d9d022b844678a8317e79fbbcb8e5598172f09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZK6Q2281155","spotify:user:sachropathy","2023-04-28T17:40:52Z"
"spotify:track:3Q1Nfez3ZnReiJhexjocW9","Violeiro","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","spotify:album:27jNgBWNJvSDtbqqvbHf6g","Love Or (I Heard You Like Heartbreak)","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","2021-03-19","https://i.scdn.co/image/ab67616d0000b273f21528dc785bc45e8ff66e63","1","3","311720","https://p.scdn.co/mp3-preview/47c9a72cf190da2a6d8f62b4a287dd3a2fcbaab4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","DEG932002384","spotify:user:sachropathy","2023-04-28T17:53:07Z"
"spotify:track:2yQweA8nCYuzFj15LiOb41","YourLove","spotify:artist:2EFsfh1zewsSWhDINv7j1I","Logic1000","spotify:album:2B7X9jUKwOhDLouk997Ut3","Safe In My Arms / YourLove","spotify:artist:2EFsfh1zewsSWhDINv7j1I","Logic1000","2021-07-14","https://i.scdn.co/image/ab67616d0000b27342c4510f3e7c313f64df045b","1","2","172129","https://p.scdn.co/mp3-preview/7a607f815cd2ad98727c93d558c2da91d684602e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBMVH2100510","spotify:user:sachropathy","2023-04-28T18:01:26Z"
"spotify:track:3B54sVLJ402zGa6Xm4YGNe","Unforgettable","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","French Montana, Swae Lee","spotify:album:4c2p3TdN7NcQfCXyueCNnC","Jungle Rules","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2017-07-14","https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07","1","2","233901","https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM11703478","spotify:user:sachropathy","2023-04-28T18:06:38Z"
"spotify:track:6vnLZINUWTBCAffcbHTICm","Aquí","spotify:artist:5wqj5DHpNUW5TySzEtzdFg, spotify:artist:1Eh71zDPqTxFkFZhy6Vki9","nand, Ceyolia","spotify:album:11XrUD6Q4kW1ENOqHrKZXh","Aquí","spotify:artist:5wqj5DHpNUW5TySzEtzdFg","nand","2020-09-04","https://i.scdn.co/image/ab67616d0000b273284a4bc7d70664affd03aebf","1","1","162000","https://p.scdn.co/mp3-preview/49eab414111d8369f2fc45822643bda499170a2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZK6M2031114","spotify:user:sachropathy","2023-04-29T10:58:39Z"
"spotify:track:77Xem388qquvtKVZTSTGEm","And That's the Story of Their Love","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","spotify:album:27jNgBWNJvSDtbqqvbHf6g","Love Or (I Heard You Like Heartbreak)","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","2021-03-19","https://i.scdn.co/image/ab67616d0000b273f21528dc785bc45e8ff66e63","1","10","546000","https://p.scdn.co/mp3-preview/c538b70f87a0b2669301ebe4f1832f946239933e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEG932002377","spotify:user:sachropathy","2023-04-29T17:45:30Z"
"spotify:track:6fko5tMaaAgCW2nAnWoWdz","When Love Is New","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","spotify:album:27jNgBWNJvSDtbqqvbHf6g","Love Or (I Heard You Like Heartbreak)","spotify:artist:3Cp1T1wJT1RFoxJv1jSWys","Prequel","2021-03-19","https://i.scdn.co/image/ab67616d0000b273f21528dc785bc45e8ff66e63","1","2","527066","https://p.scdn.co/mp3-preview/353912a89a52b06545e14bdee3303d07b2e5c7f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","DEG932002385","spotify:user:sachropathy","2023-04-29T17:54:23Z"
