"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1tSzm6vk58gS0NZwYS18W0","Waltz for Debby","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:5KMFvQIC2Of0UtJe9w5e0n","The Bill Evans Album","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","1971","https://i.scdn.co/image/ab67616d0000b2732002c3ce32dee8c19958fcf4","1","4","461493","https://p.scdn.co/mp3-preview/96eb43fca10f9427e577adf4326d637b4e02b04d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM17100050","spotify:user:morukcan","2022-08-06T09:18:40Z"
"spotify:track:0Dt1B5dNfajRczQKZA87aL","So Tender","spotify:artist:0F3Aew9DSd6fb6192K1K0Y, spotify:artist:2k1Qcdf3sOJYCNZEPus58Y, spotify:artist:7rDjbKTLlpNYJRWMm7QVxU","Keith Jarrett, Gary Peacock, Jack DeJohnette","spotify:album:6fvZds34e7H5ICQ5HOWNbd","Standards, Vol. 2","spotify:artist:0F3Aew9DSd6fb6192K1K0Y","Keith Jarrett","1983","https://i.scdn.co/image/ab67616d0000b273edd1e43f3a4345b53f285a25","1","1","435266","https://p.scdn.co/mp3-preview/4c24a1e3bc7dfe9e84c7d4b7faa65ceb3d0a7543?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","DEB338328901","spotify:user:morukcan","2022-08-06T09:18:58Z"
"spotify:track:016HKF7A4O7tatoJ9BgZM1","Say It (Over And Over Again)","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","spotify:album:0Ydakb7npXmyTwFLvKc5qt","Ballads (Deluxe Edition - Rudy Van Gelder Remaster)","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","1963","https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563","1","1","255960","https://p.scdn.co/mp3-preview/a9a2f3e3a1f630b14d28a7c0285409e330f137ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USMC16211166","spotify:user:morukcan","2023-01-10T17:19:27Z"
"spotify:track:5eVERkVvJKBgV2FziCoLDE","Night Lights","spotify:artist:6tzN9Ew9w6JB0UQr8culs1","Gerry Mulligan Sextet","spotify:album:1uJ9OJIgmgj4ta8xjq9nEJ","Night Lights (Expanded Edition)","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","1963-01-01","https://i.scdn.co/image/ab67616d0000b2735b49e34e89bc550a8dfd9f2b","1","1","298000","https://p.scdn.co/mp3-preview/0d280563f1a41e705c1b6f2f44f28ce6fc9a4aa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USIR20080346","spotify:user:morukcan","2023-01-10T17:19:29Z"
"spotify:track:7cZ7V0JWA8tUarE1TyABR7","Part 16","spotify:artist:0F3Aew9DSd6fb6192K1K0Y","Keith Jarrett","spotify:album:64EgYMgM0KR2WS5jbvPmKq","Radiance","spotify:artist:0F3Aew9DSd6fb6192K1K0Y","Keith Jarrett","2005-05-02","https://i.scdn.co/image/ab67616d0000b273af6afba3fb1a1f7359703353","2","7","203253","https://p.scdn.co/mp3-preview/3a744ea2816f83ea2bbb536d711d1086313e54ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEB330296107","spotify:user:morukcan","2022-08-06T09:19:01Z"
"spotify:track:6TCEJVBIrm9YysBGEVHFD0","One Day I'll Fly Away","spotify:artist:0F3Aew9DSd6fb6192K1K0Y, spotify:artist:5Pqc0ZFA20Y9zGJZ3ojUin","Keith Jarrett, Charlie Haden","spotify:album:0dlzYOzj8FqN3OXV3jXZye","Jasmine","spotify:artist:0F3Aew9DSd6fb6192K1K0Y, spotify:artist:5Pqc0ZFA20Y9zGJZ3ojUin","Keith Jarrett, Charlie Haden","2010-05-07","https://i.scdn.co/image/ab67616d0000b27379e3060043f4716b9b3547e4","1","4","255226","https://p.scdn.co/mp3-preview/7a95243ed4709dce20b95afe1cfb87d5749519a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DEB330716504","spotify:user:morukcan","2022-08-06T09:19:07Z"
"spotify:track:6f5c2TrHJxscSjX1CVFlfR","I Loves You Porgy","spotify:artist:0F3Aew9DSd6fb6192K1K0Y","Keith Jarrett","spotify:album:2onXlqUvme77BeIcMIOz3M","The Melody At Night, With You","spotify:artist:0F3Aew9DSd6fb6192K1K0Y","Keith Jarrett","1999-10-04","https://i.scdn.co/image/ab67616d0000b2730b6534616d95facf42acee29","1","1","344693","https://p.scdn.co/mp3-preview/0815f9391c68c2df52dce046651abd80c391e114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEB339967501","spotify:user:morukcan","2022-08-06T11:26:48Z"
"spotify:track:5bNCSONNjCzEvZ90RFKyzy","Tenderly","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:1YYIF3D8z28wRfTTXwvkUD","Chet In Paris: Everything Happens To Me - The Complete Barclay Recording Vol. 2","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1988-10-06","https://i.scdn.co/image/ab67616d0000b2732794dfcaf067a859afb84448","1","3","397666","https://p.scdn.co/mp3-preview/36c61805ffc5c8f666519b33943c1172bac4c983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FRZ015500510","spotify:user:morukcan","2022-08-09T05:39:00Z"
"spotify:track:4c9u4ruTL1xWv2YcnS8AjN","In The Wee Small Hours Of The Morning","spotify:artist:6tzN9Ew9w6JB0UQr8culs1","Gerry Mulligan Sextet","spotify:album:1uJ9OJIgmgj4ta8xjq9nEJ","Night Lights (Expanded Edition)","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","1963-01-01","https://i.scdn.co/image/ab67616d0000b2735b49e34e89bc550a8dfd9f2b","1","3","339533","https://p.scdn.co/mp3-preview/39a0647074805add50524bdaa80e55bf2dbffeee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USIR20080348","spotify:user:morukcan","2022-12-18T21:31:42Z"
"spotify:track:1lZ41PumDFX0e82XTGx4sE","It's Easy To Remember","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","spotify:album:0Ydakb7npXmyTwFLvKc5qt","Ballads (Deluxe Edition - Rudy Van Gelder Remaster)","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","1963","https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563","1","7","165560","https://p.scdn.co/mp3-preview/27156afa1dfc28f00d1923d450f40b52d55307d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USMC16253796","spotify:user:morukcan","2022-12-18T21:31:49Z"
"spotify:track:1Ame30MZ6yKnqaWFAch1m7","When I Fall In Love","spotify:artist:71Ur25Abq58vksqJINpGdx","Miles Davis Quintet","spotify:album:0Q0bftWuBSwZAHBKZr0lxB","Steamin' With The Miles Davis Quintet","spotify:artist:71Ur25Abq58vksqJINpGdx","Miles Davis Quintet","1961","https://i.scdn.co/image/ab67616d0000b273918d4376b1b56318fcc728ca","1","6","264066","https://p.scdn.co/mp3-preview/01a782e590950f9e09b13493ba1eb8b571cbdf99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USFI86100109","spotify:user:morukcan","2022-12-18T21:31:53Z"
"spotify:track:0em61RfC2p6XAi9cBSEjE6","Deep In A Dream","spotify:artist:1Sc9ykJB728MAZab1Ocwy8","Sonny Clark","spotify:album:2akec72Ypln9yScfhHo8rm","Leapin' And Lopin'","spotify:artist:1Sc9ykJB728MAZab1Ocwy8","Sonny Clark","1962-01-01","https://i.scdn.co/image/ab67616d0000b273f81fa652c728029c8955311d","1","2","402799","https://p.scdn.co/mp3-preview/6c82809c0925ff8d8a2d9b74bdd5de475153f2c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USBN28700201","spotify:user:morukcan","2022-12-18T21:32:04Z"
"spotify:track:40jkZfOGxDcIRgNz9nEoZ7","Alfie","spotify:artist:7De2eIqeHTw091YeAkkYXV","Rahsaan Roland Kirk","spotify:album:0yAbp9pGErWGyK3g8n0KFp","Rip Rig And Panic / Now Please Don't You Cry Beautiful Edith","spotify:artist:7De2eIqeHTw091YeAkkYXV","Rahsaan Roland Kirk","1990-01-01","https://i.scdn.co/image/ab67616d0000b27397db899d958b746bd12464a3","1","9","172666","https://p.scdn.co/mp3-preview/b37366c55c34c8168fee9725ad06dd4ca8586598?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USGR10110644","spotify:user:morukcan","2022-12-18T21:32:18Z"
"spotify:track:422IAu1bVxDVde4YSo8Kaw","Gee Baby, Ain't I Good To You","spotify:artist:1Sc9ykJB728MAZab1Ocwy8","Sonny Clark","spotify:album:5nk9X6TfebDzuEdy59w817","Blues In The Night","spotify:artist:1Sc9ykJB728MAZab1Ocwy8","Sonny Clark","1979","https://i.scdn.co/image/ab67616d0000b2730d0c392958f1957a91b987c5","1","12","238386","https://p.scdn.co/mp3-preview/62559a16fbe7a27553ea16beedf9eaa7caa815d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USBN29700824","spotify:user:morukcan","2022-12-18T21:32:31Z"
"spotify:track:6GQ6rapsknPIutGbpv0DTR","Morning Of The Carnival - From ""Black Orpheus""","spotify:artist:6tzN9Ew9w6JB0UQr8culs1","Gerry Mulligan Sextet","spotify:album:1uJ9OJIgmgj4ta8xjq9nEJ","Night Lights (Expanded Edition)","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","1963-01-01","https://i.scdn.co/image/ab67616d0000b2735b49e34e89bc550a8dfd9f2b","1","2","330546","https://p.scdn.co/mp3-preview/c0ac5d24ab391e1e398e89657abe64b1e6447036?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USIR20080347","spotify:user:morukcan","2022-12-29T18:44:30Z"
"spotify:track:17OHsQ5RBrU6b9lTaPP0vh","Prelude In E Minor","spotify:artist:6tzN9Ew9w6JB0UQr8culs1","Gerry Mulligan Sextet","spotify:album:1uJ9OJIgmgj4ta8xjq9nEJ","Night Lights (Expanded Edition)","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","1963-01-01","https://i.scdn.co/image/ab67616d0000b2735b49e34e89bc550a8dfd9f2b","1","4","256533","https://p.scdn.co/mp3-preview/4233cf643be591a4c133ecb4709ac4f837e03b89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USIR20080349","spotify:user:morukcan","2022-10-23T10:34:30Z"
"spotify:track:4Y9WU4Za9QVX7IIk7bjJCS","Tenderly","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:2zSAVheEFBPMuUozd6C9gt","Everybody Digs Bill Evans","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","1959","https://i.scdn.co/image/ab67616d0000b27386ae75aef90b01b817da4378","1","5","214440","https://p.scdn.co/mp3-preview/44f2b1f3dae92cf092b0ed0b7d03dcd1b0717a43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USFI80700084","spotify:user:morukcan","2022-08-09T05:39:20Z"
"spotify:track:6k83pwivSxRhbf4AKk9fCw","Tenderly","spotify:artist:5gYIhpLwCYoxh3V8KANZpI","Beegie Adair","spotify:album:6c1bk7UF4GLqpWGc6hRBsj","By Request","spotify:artist:5gYIhpLwCYoxh3V8KANZpI","Beegie Adair","2017-04-21","https://i.scdn.co/image/ab67616d0000b2733c64cb9c7f724433da2df364","1","9","264613","https://p.scdn.co/mp3-preview/521faefbd253978b41d1fff7280d39c6b769ff10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","US86A1600081","spotify:user:morukcan","2022-08-09T05:39:34Z"
"spotify:track:6fGqxkBPqoIq4SQ3mtbHMI","What Are You Doing The Rest Of Your Life?","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:1zzo0Z44x6Xkjhz4RMlGBG","From Left To Right (Expanded Edition)","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","1971-02-01","https://i.scdn.co/image/ab67616d0000b2731fb1655c7ebec963808be2f9","1","1","245000","https://p.scdn.co/mp3-preview/81e3f1819b7ca6a1d4face0a8d912cab72a4a2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USPR37080033","spotify:user:morukcan","2022-08-20T19:35:53Z"
