"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4l9hml2UCnxoNI3yCdL1BW","My Funny Valentine","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5JJ779nrbHx0KB2lBrMMa4","Chet Baker Sings","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1956","https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0","1","10","141133","https://p.scdn.co/mp3-preview/031386982bf41d389e113bc38a49e5383ffdea47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USBN28900073","spotify:user:morukcan","2021-01-07T10:02:45Z"
"spotify:track:0F845nujLVqCb0XMZCh5Pc","I Fall In Love Too Easily","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5JJ779nrbHx0KB2lBrMMa4","Chet Baker Sings","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1956","https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0","1","13","201440","https://p.scdn.co/mp3-preview/c03aa644efb72f4855079a50ed8cf365a330c1e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USBN28900070","spotify:user:morukcan","2021-01-07T10:02:48Z"
"spotify:track:0elmUoU7eMPwZX1Mw1MnQo","The Way You Look Tonight","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:7FAo3wmrJNNzz2W5Z5ZG80","Days Of Wine And Roses, Moon River And Other Academy Award Winners","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1964","https://i.scdn.co/image/ab67616d0000b273ff0dae802acb38075786b58c","1","3","202160","https://p.scdn.co/mp3-preview/70d0f573438d33e0742480411e8af8f867a71afb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRH10800815","spotify:user:morukcan","2021-01-07T10:03:10Z"
"spotify:track:7yED4n2U8RR5LKZVmisiev","The Way You Look Tonight","spotify:artist:2lolQgalUvZDfp5vvVtTYV","Tony Bennett","spotify:album:29DNH3Fggk7fkLZebFkcH8","Rarities, Outtakes & Other Delights, Vol. 2","spotify:artist:2lolQgalUvZDfp5vvVtTYV","Tony Bennett","2012-11-17","https://i.scdn.co/image/ab67616d0000b27331d261a19f6d40775ae820b5","1","11","203306","https://p.scdn.co/mp3-preview/1a21a84edea3296cefd9ac1da2e79e33e666404b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USSM19700978","spotify:user:morukcan","2021-01-07T10:03:30Z"
"spotify:track:4y8icjzu6fZP503Mg31Tpn","My Romance","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","spotify:album:3DXgUbJhOxidQC3l0tegY9","Ella Fitzgerald Sings The Rodgers And Hart Song Book","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1956-01-01","https://i.scdn.co/image/ab67616d0000b2739a54a21b1575c1985f768ab1","1","15","224226","https://p.scdn.co/mp3-preview/df271f487266dca522eee9a655373e5d8a2c5911?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM71203581","spotify:user:morukcan","2021-01-07T10:04:30Z"
"spotify:track:5ztIul377mylwHJkCnIWbn","Dance Me To The End Of Love","spotify:artist:5l8VQNuIg0turYE1VtM9zV, spotify:artist:7nXyULtoL8k7wP9l6kg8Ef","Leonard Cohen, Madeleine Peyroux","spotify:album:5Abc3wXAy8U1f79eVn7AGd","Careless Love","spotify:artist:7nXyULtoL8k7wP9l6kg8Ef","Madeleine Peyroux","2004-01-01","https://i.scdn.co/image/ab67616d0000b273d13ca9f96706966a8f640bec","1","1","235640","https://p.scdn.co/mp3-preview/ea37ee0ca935c1d900bc6d2e6375a3ecd6012c82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRO20419201","spotify:user:morukcan","2021-01-07T10:04:49Z"
"spotify:track:226aNk2hiOlW3joJHIvSVe","Loving You","spotify:artist:7rcjVbooAaV2pPRdyPHCrM","Cyrille Aimee","spotify:album:21rqFgEooG35NUhxxwOqTs","Move On: A Sondheim Adventure","spotify:artist:7rcjVbooAaV2pPRdyPHCrM","Cyrille Aimee","2019-02-22","https://i.scdn.co/image/ab67616d0000b2730938aa20e4b8aa5fb5ccc61e","1","4","171949","https://p.scdn.co/mp3-preview/7faba66ac1047a2c11fb265dd22f92502195c75e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USMAR1914404","spotify:user:morukcan","2021-01-07T10:05:47Z"
"spotify:track:06UkYE0SZ3Y8zGRFOuWGAe","It's Always You - Vocal Version","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5JJ779nrbHx0KB2lBrMMa4","Chet Baker Sings","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1956","https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0","1","2","215466","https://p.scdn.co/mp3-preview/82eeb594228d482fb6832c05ae2e00e50be30b3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USBN28900078","spotify:user:morukcan","2021-01-07T10:06:42Z"
"spotify:track:4gFlHAye7To29Fs4UszQUH","I Get Along Without You Very Well (Except Sometimes) - Vocal Version","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5JJ779nrbHx0KB2lBrMMa4","Chet Baker Sings","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1956","https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0","1","9","179640","https://p.scdn.co/mp3-preview/39fd4e5543074379f92bfb4bdfd5a36d7f412a84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USBN28900074","spotify:user:morukcan","2021-01-07T10:06:49Z"
"spotify:track:6KvqXf3RxCeEfpAWWW8o8l","You And The Night And The Music","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:22iexSLOOt0pQ4dtbPTyA9","Chet [Keepnews Collection]","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1959","https://i.scdn.co/image/ab67616d0000b2739f565a06d4cbb2d9901c3f70","1","9","246800","","false","0","USFI80700098","spotify:user:morukcan","2021-01-07T10:08:04Z"
