"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:079Ey5uxL04AKPQgVQwx5h","Baila Conmigo (with Rauw Alejandro)","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx, spotify:artist:1mcTU81TzQhprhouKaTkpq","Selena Gomez, Rauw Alejandro","spotify:album:2jGa3OwXatFYQAIS7OV7k9","Revelación - EP","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","2021-03-12","https://i.scdn.co/image/ab67616d0000b2738b11b0be988e17da2799b94d","1","3","186087","https://p.scdn.co/mp3-preview/abfabb61d813b8189f44394edcbb47be3daefe85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USUG12100193","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:28:12Z"
"spotify:track:3YmgsYX80v0EtBZekgcB6w","BOYSHIT","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:5y0HdjRMItB3GQEr8EStYp","BOYSHIT","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2020-12-11","https://i.scdn.co/image/ab67616d0000b273b607cbee819047fc2e5c3ba4","1","1","160397","https://p.scdn.co/mp3-preview/2cc5be78810c51808f692e849a25ef641a1be19d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM12006967","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:28:22Z"
"spotify:track:2lnzGkdtDj5mtlcOW2yRtG","Whenever, Wherever","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","spotify:album:4DyMK9x2gnmRkRa16zHaEV","Laundry Service","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","2001-11-13","https://i.scdn.co/image/ab67616d0000b2731f400a1f4d821b00824cf58f","1","3","196160","https://p.scdn.co/mp3-preview/93dc52d836150fba41afeb6df2e9167875c7d8fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","NLB630100324","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:28:30Z"
"spotify:track:4ZtFanR9U6ndgddUvNcjcG","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:6s84u2TUpR3wdUv4NgKA2j","SOUR","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-21","https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a","1","6","178146","https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USUG12101245","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:28:40Z"
"spotify:track:1X4ZkhlRRohkV33cITaJYs","Baby","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:1TKYO9znkrY14VayHze05r","Life Support","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2021-02-26","https://i.scdn.co/image/ab67616d0000b27321bf5e9a1442b01008d63cfd","1","13","207734","https://p.scdn.co/mp3-preview/1667a6aaa4a5b697faabb31b2bcea387be2ce44f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11905848","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:28:51Z"
"spotify:track:2Lhdl74nwwVGOE2Gv35QuK","Cupid's Chokehold / Breakfast in America","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","spotify:album:4Ug3M4a8wAEebndVIF65fX","The Papercut Chronicles","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","2005-02-22","https://i.scdn.co/image/ab67616d0000b273f335d8387c3658831112f914","1","10","243773","https://p.scdn.co/mp3-preview/512899019cfc95a1faf8ddeaaa6a584c81200755?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","US56V0407211","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:29:00Z"
"spotify:track:6SRsiMl7w1USE4mFqrOhHC","brutal","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:6s84u2TUpR3wdUv4NgKA2j","SOUR","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-21","https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a","1","1","143746","https://p.scdn.co/mp3-preview/30a4c1f7cd1a45e2de45627deb66a685edd10e1b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUG12101242","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:29:07Z"
"spotify:track:0PWgAyoxsjwGRuFSO0fyya","Better Than Revenge","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6Ar2o9KCqcyYF9J0aQP3au","Speak Now","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b273d0eae3c1661a96570f0ca7bd","1","10","217173","https://p.scdn.co/mp3-preview/784a7accaf59905374ab0f74eef96a3a8c9597b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USCJY1003664","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:29:16Z"
"spotify:track:5QO79kh1waicV47BqGRL3g","Save Your Tears","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","11","215626","https://p.scdn.co/mp3-preview/4bb5ee4441a2342502372f80f78a92cf3fe22549?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USUG12000658","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:29:22Z"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/02603b1ac0f95d780cdda0f09ed9c19cdb53089f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","SEAYD7901120","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-01-10T16:29:30Z"
