"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0yVAi0bRRQjgKSrBsnB8R9","Underwater","spotify:artist:79Xp2rRN7wdsaTJgttdX3K","Cody Simpson","spotify:album:1Cop9XDu07OussxezcVeax","Wave Two","spotify:artist:79Xp2rRN7wdsaTJgttdX3K","Cody Simpson","2019-02-22","https://i.scdn.co/image/ab67616d0000b2739801052cc11d95176a551e1b","1","1","208960","https://p.scdn.co/mp3-preview/83f9dc80c3a74563e063022b43b74e7b0b2daadc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QM24S1823532","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-12-04T10:53:19Z"
"spotify:track:5ekeVMVXKTbwoi747PET58","Bezan Baran","spotify:artist:6x4eGt3L8C35ROlHXO4Ciz","Ehaam","spotify:album:5JRSIFdt8c92LuL4BA7tDV","Bezan Baran","spotify:artist:6x4eGt3L8C35ROlHXO4Ciz","Ehaam","2014-06-16","https://i.scdn.co/image/ab67616d0000b273cec9d6ab2c0d123e962ef677","1","1","253584","https://p.scdn.co/mp3-preview/dd4368832f434931a8e378183004d0b2088d351e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","AUCOY1900001","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-12-04T10:53:46Z"
"spotify:track:4MMYXKETf13DmQ6NlmnxJm","Age Ye Rooz","spotify:artist:1xA7r3Y1UGCp3rQMkgFXz4","Faramarz Aslani","spotify:album:2hiS731kSkbh66PCUGHh5E","Age Ye Rooz","spotify:artist:1xA7r3Y1UGCp3rQMkgFXz4","Faramarz Aslani","2008-07-11","https://i.scdn.co/image/ab67616d0000b273ced6092037c5fef28f1ecfa8","1","1","240160","https://p.scdn.co/mp3-preview/25040627d03c98b380a8a4dc55612e836cfd4fed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USPUP0810281","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-12-04T10:54:23Z"
"spotify:track:3hRV0jL3vUpRrcy398teAU","The Night We Met","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:4sD1qg4jwTZR4mvR4Iflk5","Strange Trails","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2015-04-06","https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583","1","14","208211","https://p.scdn.co/mp3-preview/f10f271b165ee07e3d49d9f961d08b7ad74ebd5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","US53Q1200103","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2022-12-04T10:54:42Z"
"spotify:track:3GYlZ7tbxLOxe6ewMNVTkw","TV","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:1YPWxMpQEC8kcOuefgXbhj","Guitar Songs","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2022-07-21","https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318","1","1","281380","https://p.scdn.co/mp3-preview/9030494b69aca34b12108b59e3749919384789de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM72213724","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-14T17:24:55Z"
"spotify:track:4nVBt6MZDDP6tRVdQTgxJg","Story of My Life","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:7p1fX8aUySrBdx4WSYspOu","Midnight Memories (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2013-11-25","https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1","1","2","245493","https://p.scdn.co/mp3-preview/9c3f89f926a702034ae182e723b2d601c2bd754d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBHMU1300210","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-14T17:25:03Z"
"spotify:track:3BJe4B8zGnqEdQPMvfVjuS","Summertime Sadness","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:5VoeRuTrGhTbKelUfwymwu","Born To Die - The Paradise Edition","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918","1","11","265427","https://p.scdn.co/mp3-preview/c2417b9b977404dfc4a3c6b6ef5ac8f7abccee54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GBUM71111565","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-14T20:10:10Z"
"spotify:track:1mw0RgNXIpYRyyCdBQbLgA","Love Of My Life","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","13","191638","https://p.scdn.co/mp3-preview/8eb6daf5524a3e049992c6852cfae566e22c1a59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM12200621","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-19T16:53:51Z"
"spotify:track:4l9ytEMvyXBkYCNOa96jM1","Behet Ghol Midam","spotify:artist:72482nIO3fujPgLNJQWuCy","Mohsen Yeganeh","spotify:album:0uf4mQVzjO7VIyo02eXOYK","Behet Ghol Midam","spotify:artist:72482nIO3fujPgLNJQWuCy","Mohsen Yeganeh","2016-02-29","https://i.scdn.co/image/ab67616d0000b27392a22b4d43296e571d325ea4","1","1","217253","https://p.scdn.co/mp3-preview/6620bb5507f4fc1ac1cdadd88586d4c72331f655?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FRX452028724","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-11-11T15:23:39Z"
"spotify:track:3ZCn4phhSBUSBmi1twlyTN","Darya","spotify:artist:0d5rwSzg2Y6dhDHV7JeaYQ","Roozbeh Nematollahi","spotify:album:3ZuOu5DotguzJjEmYnF3z3","هفته ی عاشقی","spotify:artist:0d5rwSzg2Y6dhDHV7JeaYQ","Roozbeh Nematollahi","2007-07-04","https://i.scdn.co/image/ab67616d0000b2732836689a16c019adacf02432","1","5","256105","https://p.scdn.co/mp3-preview/20ae58270b682600fb6fc361328c6334b57c6914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","usdy42180902","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-11-19T14:08:34Z"
